Region Name,Region Type,Data Type,2020-04-14 10:00:00,2020-05-14 20:00:00,2020-06-14 06:00:00,2020-07-14 16:00:00,2020-08-14 02:00:00,2020-09-13 12:00:00
Binghamton Metro,metro,Studio,104476.97622329382,104668.65463434576,105052.01145644966,105243.6898675016,105339.52907302757,105052.01145644966
Birmingham-Hoover Metro,metro,Studio,192351.671544256,193632.54725019625,194796.9797101419,196194.2986620767,197475.17436801695,198872.49331995173
Boise City Metro,metro,Studio,289187.99316195876,290866.44814829476,293551.97612643236,295678.0191091246,298139.7530890841,300042.0020735982
Boston-Cambridge-Newton Metro,metro,Studio,447404.9417440895,448322.84088889457,449750.68400303577,451484.49349877867,453524.2693761233,455462.0564596007
Boulder Metro,metro,Studio,617095.9228401689,611826.9211355736,611207.0385820918,610690.4697875236,611620.2936177463,613066.6862425372
Bremerton-Silverdale Metro,metro,Studio,311077.80017392425,314100.12920890277,316150.99533978105,318093.92114798154,320792.42921492667,324570.3405086498
Bridgeport-Stamford-Norwalk Metro,metro,Studio,215700.2961315531,215905.5104514795,215905.5104514795,216726.3677311851,216931.58205111153,217342.01069096435
Buffalo-Cheektowaga-Niagara Falls Metro,metro,Studio,146169.6231042432,146948.44455802397,147504.7455964388,148061.04663485364,148172.3068425366,148506.0874655855
Burlington Metro,metro,Studio,131902.81708793738,132455.42792332353,133100.1405646074,133284.34417640278,133560.64959409586,133192.2423705051
Burlington-South Burlington Metro,metro,Studio,291932.36575125845,292568.65977953083,292992.85579837905,292992.85579837905,292674.70878424286,292038.41475597053
Canton-Massillon Metro,metro,Studio,92164.78001471708,92381.06631496051,92272.9231648388,92381.06631496051,92813.63891544737,93570.6409662994
Cape Coral-Fort Myers Metro,metro,Studio,234421.21351149696,233435.70764633451,232055.99943510705,232351.6511946558,232154.5500216233,232154.5500216233
Cedar Rapids Metro,metro,Studio,157398.75116289692,158658.98122831952,158773.5475979034,157513.3175324808,155794.82198872272,155107.4237712195
Champaign-Urbana Metro,metro,Studio,139080.5889295021,139585.8443177248,139888.99755065847,140394.2529388812,140293.20186123665,139888.99755065847
Charleston Metro,metro,Studio,68203.35829961175,67545.76524997196,67263.93965726919,66982.11406456643,66794.23033609791,66512.40474339515
Charleston-North Charleston Metro,metro,Studio,230068.66994893714,230703.71397675123,231656.28001847235,231867.96136107703,232079.64270368172,231550.43934717
Charlotte-Concord-Gastonia Metro,metro,Studio,158600.02959689795,159708.00103796736,160594.3781908229,161259.16105546453,162256.335352427,164139.886802245
Chattanooga Metro,metro,Studio,162013.43158003394,162446.5945997757,162663.1761096466,163204.6298843238,163637.79290406557,164179.24667874278
