Region Name,Region Type,Data Type,2020-04-14 10:00:00,2020-05-14 20:00:00,2020-06-14 06:00:00,2020-07-14 16:00:00,2020-08-14 02:00:00,2020-09-13 12:00:00
Dayton Metro,metro,All Homes,137114.36267264455,138176.6684379781,139120.94022938568,140301.2799686452,141599.65368183065,143488.19726464586
Denver-Aurora-Lakewood Metro,metro,All Homes,451681.925988136,452403.6071935997,453846.9696045271,455908.915905852,457558.47294691193,459311.1273030381
Des Moines-West Des Moines Metro,metro,All Homes,207780.49927514867,208208.04600794788,208528.70605754727,208849.36610714666,208956.25279034645,209383.79952314566
Detroit-Warren-Dearborn Metro,metro,All Homes,185185.864664578,185910.63794195498,186738.95025895722,187670.80161558476,188706.19201183756,190259.27760621678
Duluth Metro,metro,All Homes,172118.5245564931,173350.55625471065,174246.5793079598,175366.6081245212,176598.63982273877,177606.66575764405
Durham-Chapel Hill Metro,metro,All Homes,278586.11171537463,279479.22448841174,280260.6981648193,280930.5327445971,281600.36732437497,282493.4800974121
El Centro Metro,metro,All Homes,244063.80344237824,244894.50280713243,246763.57637782936,249047.9996309034,251747.7725663545,254343.70808121137
Erie Metro,metro,All Homes,130569.72898126715,130797.5455085592,131139.27029949726,131367.0868267893,131594.90335408135,131708.8116177274
Eugene Metro,metro,All Homes,329145.67813200713,331481.8810150861,334596.8181925248,337600.5076136263,341160.4358164134,344831.6117755375
Evansville Metro,metro,All Homes,144481.16488055373,145039.82932718136,145821.95955246003,146268.89110976213,146939.2884457153,147386.2200030174
Fayetteville Metro,metro,All Homes,129914.1537114925,130487.45018858943,131347.39490423482,132016.24079418124,132398.4384455792,132876.18550982664
Fayetteville-Springdale-Rogers Metro,metro,All Homes,201468.13074266727,202228.1456844223,202988.16062617738,203965.32269414817,204616.76407279537,205159.6318883347
Flagstaff Metro,metro,All Homes,369018.3712431723,370486.49888096616,371954.62651876,373003.2891171841,374051.9517156083,376149.2769124566
Flint Metro,metro,All Homes,135999.818685124,136857.8990710313,137608.71940870024,137715.97945693866,137823.23950517707,137823.23950517707
Fort Collins Metro,metro,All Homes,423656.22012305923,424376.5231263084,424891.0252714864,426125.83041991363,426434.5317070204,427360.6355683408
Fort Smith Metro,metro,All Homes,109294.5843045743,109855.56532079073,110304.35013376389,110753.13494673703,111314.11596295345,111987.29318241318
Fort Wayne Metro,metro,All Homes,156686.9342379268,157493.42717817018,158299.92011841357,159221.6263358346,160258.54583043326,161065.03877067665
Fresno Metro,metro,All Homes,272440.87153937406,272962.9002157747,273798.1460980158,274633.3919802568,275677.44933305815,277139.12962697993
Gainesville Metro,metro,All Homes,202143.05502022718,203010.41499193286,203769.35496717534,204961.97492827068,206696.69487168203,208106.15482570376
Gainesville Metro,metro,All Homes,236223.82423133648,236642.69956628248,236852.13723375546,237899.32557112043,239051.23274222188,240307.85874705983
Glens Falls Metro,metro,All Homes,189860.87072016057,190187.80663989144,190405.763919712,190841.67847935314,191277.5930389943,191931.464878456
Grand Junction Metro,metro,All Homes,276612.32764360635,278406.8546589019,279752.7499203736,282332.38250486105,285921.43653545214,288837.5429353075
Grand Rapids-Wyoming Metro,metro,All Homes,226401.17718596105,228438.86101174794,229618.5727003614,231120.0239404149,232406.98214617505,234122.9264205219
Greeley Metro,metro,All Homes,388393.8019972646,389745.9588274391,390370.03121059656,391098.1156576136,392242.24836006894,394114.46550954133
Green Bay Metro,metro,All Homes,186002.60334322593,186780.67405320166,187781.05068031332,188892.58026599296,190004.1098516726,190893.33352021629
Greensboro-High Point Metro,metro,All Homes,160511.993482016,161341.87779253811,162171.76210306023,163120.20131508552,164305.75033011712,165846.9640496582
Greenville-Anderson-Mauldin Metro,metro,All Homes,203727.18996718773,204393.25249834915,204948.30460765035,205614.36713881177,206391.44009183344,207279.52346671536
Hagerstown-Martinsburg Metro,metro,All Homes,202847.99672707292,203064.54895482594,203930.75786583795,204796.96677684993,205771.45180173847,206637.66071275048
Harrisburg-Carlisle Metro,metro,All Homes,191623.85913685165,192192.86930719847,192761.87947754527,193444.69168196147,194355.10795451637,195379.32626114064
Hartford-West Hartford-East Hartford Metro,metro,All Homes,233893.96634257218,234271.19916589573,234497.53885988984,234874.77168321336,235101.11137720748,235780.13045918982
Hickory-Lenoir-Morganton Metro,metro,All Homes,156711.28770586802,157524.7747209506,158105.83687458103,158919.32388966362,159616.59847402014,160313.87305837663
Houston-The Woodlands-Sugar Land Metro,metro,All Homes,220937.74163380667,221550.3133849371,222162.8851360675,222367.07571977764,222775.4568871979,223592.21922203846
Huntington-Ashland Metro,metro,All Homes,105655.70939159169,105870.882220165,106086.0550487383,106193.64146302495,106301.22787731161,106301.22787731161
Huntsville Metro,metro,All Homes,193893.84646629565,195528.04142602405,197916.4802133194,200807.74821899267,204453.26005223294,208224.47919006768
Indianapolis-Carmel-Anderson Metro,metro,All Homes,186568.852575351,187584.2552459986,188261.19035976366,189163.7705114504,190517.64073898052,191871.51096651066
